Research rank,Callable rank,Existing cockpit record,Business,Category,City / service area,State,Phone,Email,Paid channel(s),Paid-signal confidence,Paid evidence,Platform response / demand,Recommended first conversation,Why this angle,Google profile status,Google rating,Google reviews,Google Maps,Google search,Website status,Website,Platform profile(s),Evidence page(s),Observed,Cockpit lead ID,Match method,Possible existing IDs,Status,Notes
31,31,Existing cockpit record · enriched in place,Swiftly Garage Doors,Garage door service,Phoenix,AZ,(623) 216-7185,justin@garagedoorinfospot.com,Angi,Confirmed paid,Angi: Approved advertiser badge (Confirmed paid),Angi · response 8 hrs · 13 recent quote requests,Lead recovery,"Angi shows the company is already acquiring leads. Its basic website/Google presence is established, so qualify what happens when a paid call or form is missed.",Current Google profile matched,4.9,407,https://maps.google.com/?cid=5077193035886361185&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,https://www.google.com/maps/search/?api=1&query=Swiftly%20Garage%20Doors%20Arizona,Basic website checks pass,https://swiftlygaragedoors.com/,,https://www.angi.com/companylist/us/az/phoenix/garage-doors.htm,2026-07-22,phone-6232167185,Exact phone/place/domain/name + service-area match,,,
32,32,Existing cockpit record · enriched in place,GOGO Garage Door Service,Garage door service,Apache Junction,AZ,(480) 779-7774,office@gogogarageservice.com,Angi,Confirmed paid,Angi: Approved advertiser badge (Confirmed paid),Angi · response 30 mins · 13 recent quote requests,Lead recovery,"Angi shows the company is already acquiring leads. Its basic website/Google presence is established, so qualify what happens when a paid call or form is missed.",Current Google profile matched,5,321,https://maps.google.com/?cid=3993175692697339496&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,https://www.google.com/maps/search/?api=1&query=GoGo%20Garage%20Door%20Service%20LLC%20Arizona,Basic website checks pass,https://gogogarageservice.com/,,https://www.angi.com/companylist/us/az/phoenix/garage-doors.htm,2026-07-22,phone-4807797774,Exact normalized business-name match,,,
33,33,Existing cockpit record · enriched in place,Jorge's Plumbing LLC,plumber,Yuma,AZ,'+19283236418,,Angi,Confirmed paid,Angi: Approved advertiser badge (Confirmed paid),Angi · 6 recent quote requests,Lead recovery,"Angi shows the company is already acquiring leads. Its basic website/Google presence is established, so qualify what happens when a paid call or form is missed.",Current Google profile matched,4.9,271,https://www.google.com/maps/search/?api=1&query=Jorge's%20Plumbing%20LLC&query_place_id=ChIJDTxb4V5f1oARSpxsdIbCWtw,https://www.google.com/maps/search/?api=1&query=JORGE'S%20PLUMBING%20LLC%20Arizona,Website listed · not audited,https://www.jorgesplumbing.com/,,https://www.angi.com/companylist/us/az/yuma/plumbing.htm,2026-07-22,place-ChIJDTxb4V5f1oARSpxsdIbCWtw,Exact phone/place/domain/name + service-area match,,,
34,34,Existing cockpit record · enriched in place,West Plumbing LLC,plumber,Chandler,AZ,'+16028202531,,Angi,Confirmed paid,Angi: Approved advertiser badge (Confirmed paid),Angi · response 11 hrs · 2 recent quote requests,Lead recovery,"Angi shows the company is already acquiring leads. Its basic website/Google presence is established, so qualify what happens when a paid call or form is missed.",Current Google profile matched,4.8,247,https://www.google.com/maps/search/?api=1&query=West%20Plumbing%20LLC&query_place_id=ChIJVVVVVUEHK4cR7Y45OnL-U2k,https://www.google.com/maps/search/?api=1&query=West%20Plumbing%2C%20LLC%20Arizona,Website listed · not audited,https://www.westplumbingllc.com/,,https://www.angi.com/companylist/us/az/casa-grande/plumbing.htm,2026-07-22,place-ChIJVVVVVUEHK4cR7Y45OnL-U2k,Exact normalized business-name match,,,
35,35,Existing cockpit record · enriched in place,Expert Garage Door Service,Garage door service,Scottsdale,AZ,(602) 888-3639,,Angi,Confirmed paid,Angi: Approved advertiser badge (Confirmed paid),Angi · 10 recent quote requests,Lead recovery,"Angi shows the company is already acquiring leads. Its basic website/Google presence is established, so qualify what happens when a paid call or form is missed.",Current Google profile matched,5,212,https://maps.google.com/?cid=4628554263373915874&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,https://www.google.com/maps/search/?api=1&query=EXPERT%20GARAGE%20DOOR%20SERVICE%20LLC%20Arizona,Basic website checks pass,https://expertgaragerepair.com/,,https://www.angi.com/companylist/us/az/phoenix/garage-doors.htm,2026-07-22,phone-6028883639,Exact normalized business-name match,,,
36,36,Existing cockpit record · enriched in place,Campbell's A/C,hvac contractor,Flagstaff,AZ,'+19283263709,,Angi,Confirmed paid,Angi: Approved advertiser badge (Confirmed paid),Angi · response 2 days · 22 recent quote requests,Lead recovery,"Angi shows the company is already acquiring leads. Its basic website/Google presence is established, so qualify what happens when a paid call or form is missed.",Current Google profile matched,4.8,190,https://www.google.com/maps/search/?api=1&query=Campbell's%20A%2FC&query_place_id=ChIJoYTFcO6RxKcRBfLjT2famoA,https://www.google.com/maps/search/?api=1&query=Campbell's%20A%2FC%2C%20LLC%20Arizona,Website listed · not audited,https://campbellsheatingandcooling.com/,,https://www.angi.com/companylist/us/az/flagstaff/hvac.htm,2026-07-22,place-ChIJoYTFcO6RxKcRBfLjT2famoA,Exact normalized business-name match,,,
37,37,Existing cockpit record · enriched in place,Aqua Spa and Pool Llc,Pool service,Scottsdale,AZ,(480) 515-9150,,Angi,Confirmed paid,Angi: Approved advertiser badge (Confirmed paid),,Lead recovery,"Angi shows the company is already acquiring leads. Its basic website/Google presence is established, so qualify what happens when a paid call or form is missed.",Current Google profile matched,4.8,176,https://maps.google.com/?cid=8209279246287010967&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,https://www.google.com/maps/search/?api=1&query=Aqua%20Spa%20and%20Pool%2C%20LLC%20Arizona,Basic website checks pass,http://azaquaspa.com/,,https://www.angi.com/companylist/us/az/phoenix/pool-and-spa-service.htm,2026-07-22,phone-4805159150,Exact normalized business-name match,,,
38,38,Existing cockpit record · enriched in place,American Plumbing and Rooter,plumber,Chandler,AZ,'+14808885213,,Yelp,Confirmed paid,Yelp: Sponsored result (Confirmed paid),Yelp · response 10 mins,Lead recovery,"Yelp shows the company is already acquiring leads. Its basic website/Google presence is established, so qualify what happens when a paid call or form is missed.",Current Google profile matched,4.9,151,https://www.google.com/maps/search/?api=1&query=American%20Plumbing%20and%20Rooter&query_place_id=ChIJi4LUWimoK4cRnqNZvQMV7us,https://www.google.com/maps/search/?api=1&query=American%20Plumbing%20and%20Rooter&query_place_id=ChIJi4LUWimoK4cRnqNZvQMV7us,Website listed · not audited,https://americanplumbingaz.com/,https://www.yelp.com/biz/american-plumbing-and-rooter-chandler,https://www.yelp.com/search?find_desc=Plumbers&find_loc=Phoenix%2C%20AZ,2026-07-21,place-ChIJi4LUWimoK4cRnqNZvQMV7us,Exact phone/place/domain/name + service-area match,,,
39,39,Existing cockpit record · enriched in place,Sandy Bottom Pool Service & Repair,pool service,Phoenix,AZ,'+16233498210,,Angi,Confirmed paid,Angi: Approved advertiser badge (Confirmed paid),Angi · response 1 day · rate 93% · 5 recent quote requests,Lead recovery,"Angi shows the company is already acquiring leads. Its basic website/Google presence is established, so qualify what happens when a paid call or form is missed.",Current Google profile matched,4.9,70,https://www.google.com/maps/search/?api=1&query=Sandy%20Bottom%20Pool%20Service%20%26%20Repair&query_place_id=ChIJERKIncGHfCIRw1gv3mVjfMQ,https://www.google.com/maps/search/?api=1&query=Sandy%20Bottom%20Pools%20LLC%20Arizona,Basic website checks pass,https://www.sandybottompools.com/,,https://www.angi.com/companylist/us/az/phoenix/pool-and-spa-service.htm,2026-07-22,place-ChIJERKIncGHfCIRw1gv3mVjfMQ,Reviewed cross-platform identity match,,,
40,40,Existing cockpit record · enriched in place,"All Terrain Landscape Creations, Inc.",landscaper,Tucson,AZ,'+15207216631,,Angi,Confirmed paid,Angi: Approved advertiser badge (Confirmed paid),Angi · 1 recent quote requests,Lead recovery,"Angi shows the company is already acquiring leads. Its basic website/Google presence is established, so qualify what happens when a paid call or form is missed.",Current Google profile matched,4.3,68,https://www.google.com/maps/search/?api=1&query=All%20Terrain%20Landscape%20Creations%2C%20Inc.&query_place_id=ChIJZ32dK-Vx1oYRWkGl6HFCCTY,https://www.google.com/maps/search/?api=1&query=All%20Terrain%20Landscape%20Creations%20Inc%20Arizona,Website listed · not audited,https://www.allterraintucson.com/,,https://www.angi.com/companylist/us/az/tucson/landscaping.htm,2026-07-22,place-ChIJZ32dK-Vx1oYRWkGl6HFCCTY,Exact phone/place/domain/name + service-area match,,,
41,41,Existing cockpit record · enriched in place,Goettl Air Conditioning and Plumbing - Phoenix AZ,HVAC contractor,Phoenix,AZ,'+1 602-517-0039,enriquem@arsawardsandgifts.com,Angi,Confirmed paid,Angi: Approved advertiser badge (Confirmed paid) | Angi: Approved advertiser badge (Confirmed paid),Angi · 287 recent quote requests | Angi · 60 recent quote requests,Lead recovery,"Angi shows paid lead activity and this signal was joined to an existing cockpit contact. The direct Google profile link still needs a recheck, so lead with missed paid calls rather than a Google claim.",Google rating in lead data · profile link needs recheck,4.7,14206,,https://www.google.com/maps/search/?api=1&query=Goettl%20Air%20Conditioning%20%26%20Plumbing%20Arizona,Website listed · not live-audited,https://www.goettl.com/location/phoenix-arizona/,,https://www.angi.com/companylist/us/az/casa-grande/hvac.htm | https://www.angi.com/companylist/us/az/casa-grande/plumbing.htm,2026-07-22,phone-6025170039,Reviewed cross-platform identity match,,,
42,42,Existing cockpit record · enriched in place,A1 Garage Door Service,Garage door supplier,Phoenix,AZ,'+1 602-563-6467,acronenberg@a1garage.com,Angi,Confirmed paid,Angi: Approved advertiser badge (Confirmed paid),Angi · 18 recent quote requests,Lead recovery,"Angi shows paid lead activity and this signal was joined to an existing cockpit contact. The direct Google profile link still needs a recheck, so lead with missed paid calls rather than a Google claim.",Google rating in lead data · profile link needs recheck,4.8,13120,,https://www.google.com/maps/search/?api=1&query=A1%20Garage%20Door%20Service%2C%20LLC%20Arizona,Website listed · not live-audited,https://a1garage.com/arizona-garage-door-repair-installation-near-you/,,https://www.angi.com/companylist/us/az/tucson/garage-doors.htm,2026-07-22,phone-6025636467,Exact normalized business-name match,,,
43,43,Existing cockpit record · enriched in place,George Brazil Plumbing & Electrical,Plumber,Phoenix,AZ,'+1 602-529-3749,dgonzalezcsr@att.net,Angi,Confirmed paid,Angi: Approved advertiser badge (Confirmed paid),Angi · response 4 days · 10 recent quote requests,Lead recovery,"Angi shows paid lead activity and this signal was joined to an existing cockpit contact. The direct Google profile link still needs a recheck, so lead with missed paid calls rather than a Google claim.",Google rating in lead data · profile link needs recheck,4.7,3049,,https://www.google.com/maps/search/?api=1&query=George%20Brazil%20Electric%20Arizona,Website listed · not live-audited,https://georgebrazilplumbingelectrical.com/,,https://www.angi.com/companylist/us/az/casa-grande/electrical.htm,2026-07-22,phone-6025293749,Reviewed cross-platform identity match,,,
44,44,Existing cockpit record · enriched in place,Jacuzzi Bath Remodel of Arizona,Bathroom remodeler,Phoenix,AZ,'+1 928-460-8115,astevens@azbaths.com,Angi,Confirmed paid,Angi: Approved advertiser badge (Confirmed paid) | Angi: Approved advertiser badge (Confirmed paid),Angi · 51 recent quote requests | Angi · 48 recent quote requests,Lead recovery,"Angi shows paid lead activity and this signal was joined to an existing cockpit contact. The direct Google profile link still needs a recheck, so lead with missed paid calls rather than a Google claim.",Google rating in lead data · profile link needs recheck,4.6,1605,,https://www.google.com/maps/search/?api=1&query=Jacuzzi%20Bath%20Remodel%20Arizona%20Arizona,Website listed · not live-audited,https://azbaths.com/,,https://www.angi.com/companylist/us/az/tucson/kitchen-and-bath-remodeling.htm | https://www.angi.com/companylist/us/az/sierra-vista/plumbing.htm,2026-07-22,phone-9284608115,Reviewed cross-platform identity match,,,
45,45,Existing cockpit record · enriched in place,Mr. Electric of Phoenix Metro,Electrician,Phoenix,AZ,'+1 480-582-1249,,Angi,Confirmed paid,Angi: Approved advertiser badge (Confirmed paid) | Angi: Approved advertiser badge (Confirmed paid),Angi · 1 recent quote requests | Angi · 1 recent quote requests,Lead recovery,"Angi shows paid lead activity and this signal was joined to an existing cockpit contact. The direct Google profile link still needs a recheck, so lead with missed paid calls rather than a Google claim.",Google rating in lead data · profile link needs recheck,4.9,1265,,https://www.google.com/maps/search/?api=1&query=Mr.%20Electric%20of%20Phoenix%20Metro%20Arizona,Website listed · not live-audited,https://mrelectric.com/phoenix-metro/?cid=LSTL_MRE000196,,https://www.angi.com/companylist/us/az/phoenix/electrical.htm | https://www.angi.com/companylist/us/az/casa-grande/electrical.htm,2026-07-22,phone-4805821249,Exact phone/place/domain/name + service-area match,,,
46,46,Existing cockpit record · enriched in place,All About Roofing LLC,Roofing contractor,Surprise,AZ,'+1 602-500-0652,,Angi,Confirmed paid,Angi: Approved advertiser badge (Confirmed paid) | Angi: Approved advertiser badge (Confirmed paid),Angi · response 9 hrs · 40 recent quote requests | Angi · response 9 hrs · 40 recent quote requests,Lead recovery,"Angi shows paid lead activity and this signal was joined to an existing cockpit contact. The direct Google profile link still needs a recheck, so lead with missed paid calls rather than a Google claim.",Google rating in lead data · profile link needs recheck,4.8,1027,,https://www.google.com/maps/search/?api=1&query=All%20About%20Roofing%2C%20LLC%20Arizona,Website listed · not live-audited,https://allaboutroofing.com/,,https://www.angi.com/companylist/us/az/phoenix/roofing.htm | https://www.angi.com/companylist/us/az/prescott/roofing.htm,2026-07-22,phone-6025000652,Exact normalized business-name match,,,
47,47,Existing cockpit record · enriched in place,Turn It On Electric,Electrician,Phoenix,AZ,'+1 602-313-3460,,Angi,Confirmed paid,Angi: Approved advertiser badge (Confirmed paid) | Angi: Approved advertiser badge (Confirmed paid),Angi · 26 recent quote requests | Angi · 26 recent quote requests,Lead recovery,"Angi shows paid lead activity and this signal was joined to an existing cockpit contact. The direct Google profile link still needs a recheck, so lead with missed paid calls rather than a Google claim.",Google rating in lead data · profile link needs recheck,4.6,480,,https://www.google.com/maps/search/?api=1&query=Turn%20It%20On%20Electric%20Arizona,Website listed · not live-audited,https://turnitonelectric.com/,,https://www.angi.com/companylist/us/az/phoenix/electrical.htm | https://www.angi.com/companylist/us/az/casa-grande/electrical.htm,2026-07-22,phone-6023133460,Exact phone/place/domain/name + service-area match,,,
48,48,Existing cockpit record · enriched in place,Bolt Electric,Electrician,Chandler,AZ,'+1 602-566-9503,,Angi,Confirmed paid,Angi: Approved advertiser badge (Confirmed paid),Angi · 4 recent quote requests,Lead recovery,"Angi shows paid lead activity and this signal was joined to an existing cockpit contact. The direct Google profile link still needs a recheck, so lead with missed paid calls rather than a Google claim.",Google rating in lead data · profile link needs recheck,4.9,435,,https://www.google.com/maps/search/?api=1&query=Bolt%20Electric%20Arizona,Website listed · not live-audited,http://www.boltelectricaz.com/,,https://www.angi.com/companylist/us/az/phoenix/electrical.htm,2026-07-22,phone-6025669503,Exact normalized business-name match,,,
49,49,Existing cockpit record · enriched in place,Frontline Consultants & Contracting LLC Roofing,Roofing contractor,Peoria,AZ,'+1 928-252-6055,,Angi,Confirmed paid,Angi: Approved advertiser badge (Confirmed paid),Angi · response 1 day · 3 recent quote requests,Lead recovery,"Angi shows paid lead activity and this signal was joined to an existing cockpit contact. The direct Google profile link still needs a recheck, so lead with missed paid calls rather than a Google claim.",Google rating in lead data · profile link needs recheck,4.6,236,,https://www.google.com/maps/search/?api=1&query=Frontline%20Consultants%20and%20Contracting%2C%20LLC%20Arizona,Website listed · not live-audited,https://www.frontlineconsultantsllc.com/,,https://www.angi.com/companylist/us/az/prescott/roofing.htm,2026-07-22,phone-9282526055,Reviewed cross-platform identity match,,,
